#  Z   A El rea        E1       DE1        E2       DE2     E1def    DE1def     E2def    DE2def
  30  65 Zn 1b    16.2100    0.2200   19.1600    0.4500   16.5893    0.0000   21.1580    0.0000
  32  70 Ge 0     15.1600    0.1800    0.0000    0.0000   16.3311    0.0000   20.8286    0.0000
  32  70 Ge 8     16.7600    0.0800    0.0000    0.0000   16.4617    0.0000   20.3251    0.0000
  32  72 Ge 0     17.8800    0.1600    0.0000    0.0000   16.3268    0.0000   20.1585    0.0000
  32  72 Ge 8     16.6300    0.0600    0.0000    0.0000   16.4072    0.0000   19.8709    0.0000
  32  74 Ge 8     14.5100    0.1100   17.0300    0.2700   16.2674    0.0000   19.7015    0.0000
  32  74 Ge 0     14.4900    1.4900   16.9900    0.7700   16.2750    0.0000   19.6748    0.0000
  32  76 Ge 8     15.4800    0.3800   18.8700    2.2800   16.1321    0.0000   19.5020    0.0000
  32  76 Ge 0     16.4000    0.1600   24.6300    1.0700   15.7745    0.0000   17.8256    0.0000
  33  75 As 4     14.9800    0.1300   17.5900    0.2800   15.9021    0.0000   17.9698    0.0000
  33  75 As 8     15.1900    0.2900   18.1200    0.8000   16.1642    0.0000   20.0130    0.0000
  34  76 Se 0     15.6700    0.0800    0.0000    0.0000   16.1479    0.0000   19.9928    0.0000
  34  76 Se 8     16.6900    0.0800    0.0000    0.0000   16.1816    0.0000   19.8692    0.0000
  34  78 Se 8     14.9700    0.1600   18.4200    0.2800   16.0527    0.0000   19.7109    0.0000
  34  80 Se 5     16.6000    0.0600    0.0000    0.0000   15.6543    0.0000   17.6454    0.0000
  34  80 Se 8     16.1600    0.1100    0.0000    0.0000   15.5823    0.0000   17.6970    0.0000
  34  82 Se 0     16.0000    0.0500    0.0000    0.0000   15.4512    0.0000   17.5482    0.0000
  34  82 Se 8     16.6300    0.0500    0.0000    0.0000   15.4670    0.0000   17.5368    0.0000
  37   0 Rb 4     16.7300    0.0200    0.0000    0.0000   15.4518    0.0000   17.5196    0.0000
  38   0 Sr 4     16.7900    0.0100    0.0000    0.0000   16.0426    0.0000   16.9170    0.0000
  39  89 Y  4     16.7400    0.0100    0.0000    0.0000   16.1836    0.0000   16.8204    0.0000
  39  89 Y  3a    16.8000    0.0600    0.0000    0.0000   16.2741    0.0000   16.7705    0.0000
  39  89 Y  3b    16.8000    0.2200    0.0000    0.0000   16.2741    0.0000   16.7705    0.0000
