#  Z   A El rea        E1       DE1        E2       DE2     E1def    DE1def     E2def    DE2def
  46 108 Pd 0     16.1500    0.3500   18.0900    0.3100   14.3788    0.0000   16.8557    0.0000
  46 106 Pd 4     16.2400    0.0500    0.0000    0.0000   14.6055    0.0000   16.8529    0.0000
  47 107 Ag 4     16.0500    0.0500    0.0000    0.0000   14.6636    0.0000   16.7933    0.0000
  47 107 Ag 4     16.1400    0.0500    0.0000    0.0000   14.6636    0.0000   16.7933    0.0000
  47 107 Ag 4a    15.7800    0.0800    0.0000    0.0000   14.6636    0.0000   16.7933    0.0000
  47 107 Ag 4b    15.8700    0.1300    0.0000    0.0000   14.6636    0.0000   16.7933    0.0000
  47 109 Ag 4     13.7400    0.2200   16.7600    0.1200   14.5840    0.0000   16.6883    0.0000
  47 107 Ag 4     16.3900    0.0200    0.0000    0.0000   14.6636    0.0000   16.7933    0.0000
  48 114 Cd 4     16.0300    0.0200    0.0000    0.0000   14.4197    0.0000   16.4727    0.0000
  49 115 In 4     15.9100    0.0200    0.0000    0.0000   15.0261    0.0000   16.0618    0.0000
  49 115 In 4     15.7900    0.0100    0.0000    0.0000   15.0261    0.0000   16.0618    0.0000
  49 115 In 4     15.5400    0.1700    0.0000    0.0000   15.0261    0.0000   16.0618    0.0000
  49 115 In 5     15.6300    0.0700    0.0000    0.0000   15.0261    0.0000   16.0618    0.0000
  50 112 Sn 4     15.8200    0.0600    0.0000    0.0000   15.7018    0.0000   15.9468    0.0000
  50 112 Sn 5     15.8100    0.0700    0.0000    0.0000   15.7018    0.0000   15.9468    0.0000
  50 114 Sn 4     16.0800    0.0600    0.0000    0.0000   15.7772    0.0000    0.0000    0.0000
  50 114 Sn 5     16.0100    0.0600    0.0000    0.0000   15.7772    0.0000    0.0000    0.0000
  50 116 Sn 4     15.6900    0.0100    0.0000    0.0000   15.6889    0.0000    0.0000    0.0000
  50 116 Sn 4     15.7400    0.0200    0.0000    0.0000   15.6889    0.0000    0.0000    0.0000
  50 116 Sn 4a    15.9400    0.0400    0.0000    0.0000   15.6889    0.0000    0.0000    0.0000
  50 116 Sn 4b    15.9600    0.0400    0.0000    0.0000   15.6889    0.0000    0.0000    0.0000
  50 116 Sn 5     15.6900    0.0100    0.0000    0.0000   15.6889    0.0000    0.0000    0.0000
  50 117 Sn 4     15.7700    0.0200    0.0000    0.0000   15.4518    0.0000   16.0523    0.0000
  50 117 Sn 4     15.7700    0.0200    0.0000    0.0000   15.4518    0.0000   16.0523    0.0000
  50 117 Sn 4a    15.7600    0.0400    0.0000    0.0000   15.4518    0.0000   16.0523    0.0000
  50 117 Sn 4b    15.8500    0.0600    0.0000    0.0000   15.4518    0.0000   16.0523    0.0000
  50 117 Sn 5     15.7500    0.0100    0.0000    0.0000   15.4518    0.0000   16.0523    0.0000
  50 118 Sn 4     15.5500    0.0100    0.0000    0.0000   15.5995    0.0000    0.0000    0.0000
  50 118 Sn 4     15.7000    0.0100    0.0000    0.0000   15.5995    0.0000    0.0000    0.0000
  50 118 Sn 4a    15.6000    0.0500    0.0000    0.0000   15.5995    0.0000    0.0000    0.0000
  50 118 Sn 4b    15.6500    0.0600    0.0000    0.0000   15.5995    0.0000    0.0000    0.0000
  50 118 Sn 5     15.5600    0.0100    0.0000    0.0000   15.5995    0.0000    0.0000    0.0000
  50 119 Sn 4     15.6500    0.0200    0.0000    0.0000   15.5545    0.0000    0.0000    0.0000
  50 119 Sn 4a    14.8500    0.0300    0.0000    0.0000   15.5545    0.0000    0.0000    0.0000
  50 119 Sn 4b    14.8400    0.0400    0.0000    0.0000   15.5545    0.0000    0.0000    0.0000
  50 119 Sn 5     15.7200    0.0100    0.0000    0.0000   15.5545    0.0000    0.0000    0.0000
  50 120 Sn 4     15.5000    0.0100    0.0000    0.0000   15.5093    0.0000    0.0000    0.0000
  50 120 Sn 4     15.5300    0.0100    0.0000    0.0000   15.5093    0.0000    0.0000    0.0000
  50 120 Sn 4a    15.4900    0.0500    0.0000    0.0000   15.5093    0.0000    0.0000    0.0000
  50 120 Sn 4b    15.5000    0.0900    0.0000    0.0000   15.5093    0.0000    0.0000    0.0000
  50 120 Sn 5     15.4500    0.0100    0.0000    0.0000   15.5093    0.0000    0.0000    0.0000
  50 122 Sn 4a    15.4500    0.0400    0.0000    0.0000   15.4184    0.0000    0.0000    0.0000
  50 122 Sn 4b    15.5000    0.0600    0.0000    0.0000   15.4184    0.0000    0.0000    0.0000
  50 122 Sn 5     15.3500    0.0200    0.0000    0.0000   15.4184    0.0000    0.0000    0.0000
  50 124 Sn 3a    15.4100    0.0500    0.0000    0.0000   15.3271    0.0000    0.0000    0.0000
  50 124 Sn 3b    15.4000    0.0900    0.0000    0.0000   15.3271    0.0000    0.0000    0.0000
  50 124 Sn 4     15.3900    0.0200    0.0000    0.0000   15.3271    0.0000    0.0000    0.0000
  50 124 Sn 4     15.3000    0.0200    0.0000    0.0000   15.3271    0.0000    0.0000    0.0000
  50 124 Sn 4a    15.3500    0.0400    0.0000    0.0000   15.3271    0.0000    0.0000    0.0000
  50 124 Sn 4b    15.3900    0.0800    0.0000    0.0000   15.3271    0.0000    0.0000    0.0000
  50 124 Sn 5     15.2800    0.0100    0.0000    0.0000   15.3271    0.0000    0.0000    0.0000
  51 121 Sb 4     15.6200    0.0100    0.0000    0.0000   15.0363    0.0000   16.5973    0.0000
  52 124 Te 6     15.3600    0.0200    0.0000    0.0000   14.9534    0.0000   16.4912    0.0000
  52 126 Te 6     15.2700    0.0200    0.0000    0.0000   14.9044    0.0000   16.3066    0.0000
  52 128 Te 6     15.2300    0.0200    0.0000    0.0000   15.2443    0.0000    0.0000    0.0000
  52 130 Te 6     15.2100    0.0200    0.0000    0.0000   15.1570    0.0000    0.0000    0.0000
  53 127 I  4     15.0500    0.0200   17.3300    0.0800   14.8078    0.0000   16.5645    0.0000
  53 127 I  4     14.6400    0.2200   16.5100    0.3900   14.8078    0.0000   16.5645    0.0000
